# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Dec 28 12:14:09 UTC 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.050386 0.60000 10.00000 1.0556013584 2.4838531665    1.054  0.314  3.6882  3.851    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.74e-13      0.00 6.218e-01 3.285e-01 8.808e-03 2.406e-03 2.188e-02 -1.000 4.973e-02 3.984 3.999 4.526 3.318
0.050386 0.60000 10.00000 1.0567674637 2.4840684279    1.055  0.342  3.6838  3.806    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-13      0.00 6.191e-01 3.309e-01 8.854e-03 2.418e-03 2.199e-02 -1.000 4.995e-02 3.915 3.944 4.483 3.253
0.050386 0.60000 10.00000 1.0569310188 2.4840985763    1.055  0.347  3.6832  3.800    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.12e-13      0.00 6.187e-01 3.313e-01 8.861e-03 2.420e-03 2.200e-02 -1.000 5.000e-02 3.904 3.935 4.476 3.242
0.050386 0.60000 10.00000 1.0584051609 2.4843698238    1.057  0.401  3.6794  3.731    3  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -3.8e-13      0.00 6.149e-01 3.348e-01 8.882e-03 2.438e-03 2.211e-02 -1.000 5.023e-02 3.768 3.812 4.363 3.111
0.050386 0.60000 10.00000 1.0593919754 2.4845509162    1.058  0.444  3.6775  3.681    3  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -4.43e-13      0.00 6.122e-01 3.375e-01 8.847e-03 2.468e-03 2.217e-02 -1.000 5.036e-02 3.661 3.713 4.269 3.007
0.050386 0.60000 10.00000 1.0605751276 2.4847675282    1.059  0.501  3.6755  3.616    3  0.000  0.517     0.00     0.00     0.00     0.00     0.00 -1 -5.43e-13      0.00 6.085e-01 3.410e-01 8.620e-03 2.673e-03 2.223e-02 -1.000 5.055e-02 3.518 3.577 4.138 2.868
0.050386 0.60000 10.00000 1.0615948439 2.4849537729    1.060  0.555  3.6740  3.556    3  0.000  0.495     0.00     0.00     0.00     0.00     0.00 -1 -6.59e-13      0.00 6.052e-01 3.441e-01 8.271e-03 3.084e-03 2.227e-02 -1.000 5.069e-02 3.383 3.447 4.012 2.735
0.050386 0.60000 10.00000 1.0623465776 2.4850908090    1.060  0.598  3.6728  3.509    3  0.000  0.479     0.00     0.00     0.00     0.00     0.00 -1 -7.67e-13      0.00 6.028e-01 3.464e-01 8.013e-03 3.409e-03 2.230e-02 -1.000 5.079e-02 3.276 3.345 3.913 2.630
0.050386 0.60000 10.00000 1.0630576611 2.4852202297    1.061  0.641  3.6715  3.461    3  0.000  0.468     0.00     0.00     0.00     0.00     0.00 -1 -8.94e-13      0.00 6.008e-01 3.483e-01 7.825e-03 3.650e-03 2.232e-02 -1.000 5.089e-02 3.167 3.241 3.813 2.523
0.050386 0.60000 10.00000 1.0637084246 2.4853384975    1.062  0.683  3.6703  3.414    3  0.000  0.459     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-12      0.00 5.992e-01 3.499e-01 7.690e-03 3.824e-03 2.233e-02 -1.000 5.094e-02 3.062 3.140 3.715 2.419
0.050386 0.60000 10.00000 1.0643228292 2.4854500049    1.062  0.726  3.6690  3.366    3  0.000  0.453     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-12      0.00 5.979e-01 3.511e-01 7.590e-03 3.953e-03 2.234e-02 -1.000 5.098e-02 2.954 3.038 3.617 2.314
0.050386 0.60000 10.00000 1.0648858547 2.4855520577    1.063  0.769  3.6676  3.318    3  0.000  0.449     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-12      0.00 5.969e-01 3.521e-01 7.521e-03 4.042e-03 2.235e-02 -1.000 5.102e-02 2.849 2.938 3.522 2.210
0.050386 0.60000 10.00000 1.0655450821 2.4856713903    1.064  0.822  3.6658  3.258    3  0.000  0.444     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-12      0.00 5.957e-01 3.532e-01 7.446e-03 4.139e-03 2.236e-02 -1.000 5.107e-02 2.715 2.811 3.401 2.080
0.050386 0.60000 10.00000 1.0660021305 2.4857540250    1.064  0.863  3.6643  3.211    3  0.000  0.442     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-12      0.00 5.952e-01 3.537e-01 7.412e-03 4.183e-03 2.237e-02 -1.000 5.111e-02 2.613 2.715 3.310 1.980
